Ca_00002.1	"GO:0000166,GO:0003676,GO:0003824,GO:0005622,GO:0006139,GO:0008408,GO:0044237"
Ca_00005.1	"GO:0003676,GO:0008270"
Ca_00006.1	"GO:0005515,GO:0008270"
Ca_00008.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00009.1	"GO:0004476,GO:0005975,GO:0008270,GO:0009298"
Ca_00011.1	"GO:0016491,GO:0050660,GO:0055114"
Ca_00013.1	"GO:0003677,GO:0003682"
Ca_00014.1	"GO:0003677,GO:0046983"
Ca_00017.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006414,GO:0042254"
Ca_00018.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00019.1	"GO:0003676,GO:0015074"
Ca_00023.1	"GO:0003824,GO:0030976"
Ca_00024.1	"GO:0006629,GO:0016787,GO:0016788"
Ca_00025.1	"GO:0006629,GO:0016787,GO:0016788"
Ca_00028.1	GO:0005515
Ca_00031.1	GO:0005509
Ca_00033.1	"GO:0004747,GO:0006014,GO:0016773"
Ca_00034.1	GO:0005509
Ca_00036.1	"GO:0003777,GO:0005524,GO:0005871,GO:0007018,GO:0008017"
Ca_00037.1	"GO:0005515,GO:0006952,GO:0043531"
Ca_00040.1	"GO:0016020,GO:0016192"
Ca_00041.1	"GO:0003678,GO:0003697,GO:0005524,GO:0006260,GO:0043139"
Ca_00046.1	GO:0015743
Ca_00047.1	GO:0005488
Ca_00048.1	"GO:0003677,GO:0005515,GO:0016491,GO:0055114"
Ca_00049.1	"GO:0004190,GO:0006508"
Ca_00050.1	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
Ca_00051.1	"GO:0005783,GO:0016021,GO:0016125,GO:0047750"
Ca_00052.1	"GO:0004175,GO:0004298,GO:0005839,GO:0051603"
Ca_00053.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00054.1	"GO:0004190,GO:0006508"
Ca_00055.1	"GO:0042254,GO:0046872"
Ca_00056.1	GO:0016787
Ca_00057.1	GO:0005524
Ca_00058.1	GO:0005515
Ca_00060.1	"GO:0008060,GO:0008270,GO:0032312"
Ca_00061.1	"GO:0000166,GO:0003676"
Ca_00062.1	"GO:0003899,GO:0005634,GO:0006351"
Ca_00066.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00067.1	"GO:0003824,GO:0005622,GO:0008446,GO:0019673,GO:0044237,GO:0050662"
Ca_00069.1	"GO:0000786,GO:0003677,GO:0005634,GO:0006334"
Ca_00071.1	GO:0005515
Ca_00073.1	"GO:0016491,GO:0055114"
Ca_00079.1	"GO:0006812,GO:0006816,GO:0008324,GO:0015369,GO:0016021,GO:0055085"
Ca_00080.1	GO:0005515
Ca_00081.1	"GO:0004672,GO:0005515,GO:0005524,GO:0006468,GO:0016772"
Ca_00082.1	"GO:0004672,GO:0004674,GO:0005524"
Ca_00086.1	"GO:0000166,GO:0003676"
Ca_00088.1	"GO:0003676,GO:0008270"
Ca_00094.1	"GO:0006816,GO:0015369,GO:0016021,GO:0055085"
Ca_00096.1	"GO:0003824,GO:0008152"
Ca_00097.1	"GO:0005524,GO:0005618,GO:0030599,GO:0042545"
Ca_00100.1	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
Ca_00101.1	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
Ca_00102.1	"GO:0015095,GO:0015693"
Ca_00103.1	"GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772"
Ca_00105.1	"GO:0008107,GO:0016020,GO:0042546"
Ca_00106.1	"GO:0008107,GO:0016020,GO:0042546"
Ca_00108.1	"GO:0000166,GO:0005524,GO:0006810,GO:0016021,GO:0016887,GO:0017111,GO:0042626"
Ca_00109.1	"GO:0003824,GO:0004315,GO:0006633,GO:0008152,GO:0008610,GO:0016747"
Ca_00110.1	"GO:0008152,GO:0016597"
Ca_00111.1	"GO:0003700,GO:0006355,GO:0043565"
Ca_00112.1	"GO:0004672,GO:0004674,GO:0005524,GO:0006468"
Ca_00113.1	"GO:0005215,GO:0006810,GO:0016020"
Ca_00114.1	"GO:0003824,GO:0044237,GO:0050662"
Ca_00115.1	"GO:0005215,GO:0006810,GO:0016020"
Ca_00117.1	"GO:0000139,GO:0005801,GO:0006888,GO:0016021"
Ca_00118.1	GO:0046872
Ca_00121.1	"GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772"
Ca_00124.1	GO:0046983
Ca_00125.1	"GO:0005515,GO:0008270"
Ca_00126.1	"GO:0000287,GO:0003862,GO:0005737,GO:0009098,GO:0016616,GO:0051287,GO:0055114"
Ca_00127.1	"GO:0005215,GO:0006810,GO:0016020"
Ca_00128.1	"GO:0005634,GO:0006281,GO:0030915"
Ca_00129.1	"GO:0005506,GO:0016705,GO:0020037,GO:0055114"
Ca_00133.1	"GO:0004177,GO:0006508"
Ca_00135.1	"GO:0005215,GO:0006810,GO:0016020,GO:0016021,GO:0022857,GO:0022891,GO:0055085"
Ca_00138.1	"GO:0000139,GO:0005338,GO:0005351,GO:0008643,GO:0015780,GO:0016021"
Ca_00140.1	"GO:0000387,GO:0000398,GO:0005681"
Ca_00141.1	"GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772"
Ca_00146.1	"GO:0005515,GO:0006355"
Ca_00147.1	GO:0005509
Ca_00148.1	"GO:0016491,GO:0055114"
Ca_00149.1	"GO:0003676,GO:0003684,GO:0003906,GO:0006281,GO:0006284,GO:0006289,GO:0008270,GO:0008534,GO:0016799"
Ca_00150.1	"GO:0003676,GO:0003677"
Ca_00151.1	GO:0035091
Ca_00156.1	"GO:0000398,GO:0003676,GO:0003723,GO:0005515"
Ca_00157.1	"GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016772"
Ca_00158.1	GO:0030554
Ca_00159.1	"GO:0000160,GO:0004871"
Ca_00162.1	GO:0005515
Ca_00163.1	"GO:0003824,GO:0004630,GO:0005509,GO:0005515,GO:0008152,GO:0016020,GO:0046470"
Ca_00164.1	"GO:0003677,GO:0003700,GO:0006355"
Ca_00165.1	"GO:0004252,GO:0004650,GO:0005975,GO:0016021"
Ca_00167.1	"GO:0006465,GO:0008233,GO:0016020"
Ca_00169.1	GO:0005515
Ca_00170.1	GO:0003676
Ca_00173.1	"GO:0003677,GO:0003721,GO:0003723,GO:0003964,GO:0005634,GO:0006278"
Ca_00174.1	"GO:0004197,GO:0006508,GO:0008271,GO:0008272,GO:0015116,GO:0016020,GO:0016021,GO:0055085"
Ca_00177.1	"GO:0003676,GO:0003677,GO:0004003,GO:0005524,GO:0006139,GO:0008026,GO:0016817,GO:0016818"
Ca_00180.1	"GO:0003924,GO:0005525,GO:0005622,GO:0006184,GO:0006886,GO:0006913,GO:0007165"
Ca_00184.1	"GO:0003777,GO:0005524,GO:0005871,GO:0007018,GO:0008017"
Ca_00186.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00187.1	"GO:0003924,GO:0005525,GO:0005622,GO:0006184,GO:0006886,GO:0006913,GO:0007165"
Ca_00188.1	GO:0045454
Ca_00190.1	"GO:0005875,GO:0007017"
Ca_00191.1	"GO:0008152,GO:0016616,GO:0048037,GO:0051287,GO:0055114"
Ca_00192.1	GO:0005089
Ca_00193.1	"GO:0009522,GO:0009538,GO:0015979"
Ca_00194.1	"GO:0003676,GO:0046872"
Ca_00195.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00197.1	"GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0008289,GO:0043565"
Ca_00198.1	GO:0005515
Ca_00200.1	"GO:0005215,GO:0006810,GO:0016020"
Ca_00201.1	GO:0046983
Ca_00203.1	GO:0005515
Ca_00204.1	GO:0016020
Ca_00205.1	GO:0005515
Ca_00206.1	"GO:0003677,GO:0006306,GO:0008168"
Ca_00207.1	"GO:0008033,GO:0016787"
Ca_00208.1	"GO:0009055,GO:0051536"
Ca_00209.1	"GO:0005215,GO:0006810,GO:0016020"
Ca_00211.1	"GO:0003723,GO:0003824,GO:0005737,GO:0006355"
Ca_00212.1	"GO:0003824,GO:0044237,GO:0050662"
Ca_00213.1	"GO:0005507,GO:0009055"
Ca_00214.1	"GO:0000166,GO:0004222,GO:0005524,GO:0006508,GO:0017111"
Ca_00215.1	"GO:0031965,GO:0055085"
Ca_00216.1	"GO:0003677,GO:0003700,GO:0006355,GO:0008289,GO:0043565"
Ca_00219.1	"GO:0000166,GO:0005524,GO:0016020,GO:0016887,GO:0017111"
Ca_00220.1	"GO:0004470,GO:0004471,GO:0006108,GO:0051287,GO:0055114"
Ca_00221.1	"GO:0003677,GO:0003682"
Ca_00222.1	"GO:0000160,GO:0004871"
Ca_00223.1	GO:0005488
Ca_00224.1	"GO:0016491,GO:0055114"
Ca_00225.1	"GO:0004672,GO:0005524,GO:0006468,GO:0016772,GO:0016998"
Ca_00226.1	"GO:0005634,GO:0006355,GO:0046983"
Ca_00227.1	GO:0005515
Ca_00228.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00229.1	"GO:0003872,GO:0005524,GO:0005945,GO:0006002,GO:0006096"
Ca_00230.1	"GO:0000166,GO:0003677,GO:0003684,GO:0005524,GO:0006259,GO:0006281,GO:0008094,GO:0017111"
Ca_00232.1	"GO:0006629,GO:0016787,GO:0016788"
Ca_00233.1	"GO:0006629,GO:0016787,GO:0016788"
Ca_00234.1	GO:0005515
Ca_00236.1	GO:0046983
Ca_00237.1	"GO:0004672,GO:0004674"
Ca_00239.1	GO:0015031
Ca_00240.1	"GO:0003735,GO:0005622,GO:0005840,GO:0006412"
Ca_00241.1	"GO:0016021,GO:0055085"
Ca_00242.1	"GO:0000159,GO:0005515,GO:0007165,GO:0008601"
Ca_00244.1	"GO:0004672,GO:0004713,GO:0005524,GO:0006468,GO:0016772"
Ca_00245.1	"GO:0003676,GO:0004527"
Ca_00247.1	"GO:0003824,GO:0004630,GO:0005509,GO:0005515,GO:0008152,GO:0016020,GO:0046470"
Ca_00250.1	"GO:0003676,GO:0004386,GO:0005524,GO:0008026"
Ca_00251.1	"GO:0003723,GO:0004525,GO:0006396"
Ca_00252.1	GO:0005515
Ca_00253.1	"GO:0004553,GO:0005975,GO:0030246"
Ca_00254.1	GO:0005515
